DISTRICT,SCHOOL,SCHOOL.LEVEL..x,X2009.2010.OVERALL.GRADE,X2009.2010.ENVIRONMENT.GRADE,X2009.2010.PERFORMANCE.GRADE,X2009.2010.PROGRESS.GRADE,X2008.2009.PROGRESS.REPORT.GRADE,X2010.2011.OVERALL.GRADE,X2010.2011.ENVIRONMENT.GRADE,X2010.2011.PERFORMANCE.GRADE,X2010.2011.PROGRESS.GRADE,X2009.2010.PROGRESS.REPORT.GRADE,BOROUGH
6,Washington Heights Expeditionary Learning School,Middle,B,A,C,B,A,A ,A ,B ,A ,B,Manhattan
6,P.S. 153 Adam Clayton Powell,Elementary,A,A,B,A,A,A ,A ,B ,A ,A,Manhattan
6,Washington Heights Expeditionary Learning School,High School,,,,,,A ,A ,B ,A ,B,Manhattan
6,P.S. 115 Alexander Humboldt,Elementary,C,B,D,F,A,C ,C ,D ,C ,C,Manhattan
6,Professor Juan Bosch Public School,K-2,B,A,B,B,,B ,A ,C ,C ,B,Manhattan
6,P.S. 325,Elementary,C,B,D,F,A,C ,A ,C ,C ,C,Manhattan
6,Harbor Heights,Middle,A,A,D,A,A,A ,A ,D ,A ,A,Manhattan
6,Community Health Academy of the Heights,High School,,,,,,C ,C ,D ,B ,C,Manhattan
6,City College Academy of the Arts,Middle,A,A,B,A,A,A ,A ,B ,A ,A,Manhattan
6,Muscota,Elementary,B,F,F,A,A,C ,B ,D ,C ,B,Manhattan
6,P.S. 132 Juan Pablo Duarte,Elementary,B,B,D,B,A,D ,B ,D ,F ,B,Manhattan
6,P.S. 152 Dyckman Valley,Elementary,B,D,C,B,A,C ,D ,C ,C ,B,Manhattan
6,P.S. 173,Elementary,B,D,C,A,A,B ,C ,C ,A ,B,Manhattan
6,M.S. 326 - Writers Today & Leaders Tomorrow,Middle,A,A,C,A,A,A ,A ,C ,A ,A,Manhattan
6,P.S. 008 Luis Belliard,Elementary,A,A,D,A,A,B ,A ,C ,B ,A,Manhattan
6,Washington Heights Academy,Elementary,B,B,C,B,F,B ,D ,C ,B ,B,Manhattan
6,M.S. 321 - Minerva,Middle,,,,,,,,,,,Manhattan
6,P.S. 005 Ellen Lurie,Elementary,B,B,C,A,A,C ,B ,C ,B ,B,Manhattan
6,P.S. 048 P.O. Michael J. Buczek,Elementary,B,A,C,B,A,A ,A ,B ,A ,B,Manhattan
6,M.S. 324 - Patria Mirabal,Middle,A,A,C,A,A,A ,A ,B ,A ,A,Manhattan
6,Hamilton Heights School,Elementary,C,B,F,C,A,A ,A ,C ,A ,C,Manhattan
6,Paula Hedbavny School,K-8,B,A,C,B,A,A ,A ,B ,A ,B,Manhattan
6,P.S./I.S. 187 Hudson Cliffs,K-8,A,A,C,A,A,B ,B ,C ,B ,A,Manhattan
6,P.S. 192 Jacob H. Schiff,Elementary,C,B,D,B,A,B ,A ,C ,B ,C,Manhattan
6,P.S. 098 Shorac Kappock,Elementary,B,C,D,B,A,C ,B ,D ,C ,B,Manhattan
6,Community Health Academy of the Heights,Middle,C,C,D,C,A,C ,C ,D ,B ,C,Manhattan
6,J.H.S. 052 Inwood,Middle,A,A,C,A,A,B ,A ,C ,B ,A,Manhattan
6,J.H.S. 143 Eleanor Roosevelt,Middle,B,B,D,B,A,B ,B ,C ,B ,B,Manhattan
6,City College Academy of the Arts,High School,,,,,,A ,A ,B ,A ,A,Manhattan
6,P.S. 189,Elementary,A,A,C,A,A,A ,A ,C ,B ,A,Manhattan
6,P.S. 018 Park Terrace,K-8,B,A,C,B,A,A ,A ,C ,B ,B,Manhattan
6,P.S. 028 Wright Brothers,Elementary,A,A,C,A,A,B ,A ,C ,B ,A,Manhattan
6,Amistad Dual Language School,K-8,A,A,B,A,A,A ,A ,B ,B ,A,Manhattan
6,I.S. 528 Bea Fuller Rodgers School,Middle,C,B,D,D,A,D ,A ,D ,D ,C,Manhattan
6,Middle School 322,Middle,B,B,C,B,A,C ,B ,D ,C ,B,Manhattan
6,The Mott Hall School,Middle,A,B,A,A,A,B ,B ,A ,B ,A,Manhattan
6,I.S. 218 Salome Urena,Middle,B,C,D,A,A,C ,B ,D ,B ,B,Manhattan
7,P.S. 001 Courtlandt School,Elementary,C,B,F,D,A,D ,C ,D ,D ,C,Bronx
7,J.H.S. 162 Lola Rodriguez De Tio,Middle,B,D,D,B,A,C ,D ,C ,C ,B,Bronx
7,J.H.S. 151 Lou Gehrig,Middle,A,B,D,A,A,A ,A ,D ,A ,A,Bronx
7,P.S. 161 Ponce De Leon,Elementary,C,B,D,B,A,B ,B ,D ,B ,C,Bronx
7,P.S. 179,Elementary,C,A,D,D,A,F ,B ,D ,F ,C,Bronx
7,South Bronx Preparatory: A College Board School,Middle,C,C,D,D,A,C ,B ,D ,C ,C,Bronx
7,Performance School,Elementary,C,F,F,B,,C ,C ,F ,C ,C,Bronx
7,P.S. 018 John Peter Zenger,Elementary,C,F,D,C,A,A ,F ,C ,A ,C,Bronx
7,Young Leaders Elementary School,Elementary,D,D,F,C,,D ,B ,F ,D ,D,Bronx
7,P.S. 049 Willis Avenue,Elementary,C,B,C,C,A,B ,B ,C ,B ,C,Bronx
7,P.S. 043 Jonas Bronck,Elementary,A,A,C,A,A,A ,B ,C ,A ,A,Bronx
7,Bronx Academy of Letters,Middle,B,A,C,B,A,C ,B ,C ,C ,B,Bronx
7,Hostos-Lincoln Academy of Science,Middle,A,B,B,A,A,C ,B ,C ,C ,A,Bronx
7,P.S./M.S. 031 The William Lloyd Garrison,K-8,C,B,D,C,A,C ,B ,C ,C ,C,Bronx
7,P.S. 157 Grove Hill,Elementary,B,C,C,A,A,C ,C ,C ,C ,B,Bronx
7,P.S. 005 Port Morris,Elementary,C,A,C,C,A,B ,A ,C ,B ,C,Bronx
7,South Bronx Preparatory: A College Board School,High School,A,B,A,A,A,C ,B ,D ,C ,C,Bronx
7,Academy of Public Relations,Middle,A,B,D,A,A,A ,B ,C ,A ,A,Bronx
7,P.S. 025 Bilingual School,Elementary,A,A,B,A,A,B ,A ,B ,B ,A,Bronx
7,P.S. / I.S. 224,Middle,B,B,D,A,A,D ,F ,F ,C ,B,Bronx
7,Academy of Applied Mathematics and Technology,Middle,A,A,C,A,A,A ,A ,C ,B ,A,Bronx
7,P.S. 277,Elementary,C,B,F,D,A,F ,A ,D ,F ,C,Bronx
7,P.S. 065 Mother Hale Academy,Elementary,C,F,D,B,B,B ,C ,D ,B ,C,Bronx
7,Hostos-Lincoln Academy of Science,High School,B,C,A,C,B,C ,B ,C ,C ,A,Bronx
7,P.S. 154 Jonathan D. Hyatt,Elementary,C,C,D,C,A,C ,D ,D ,C ,C,Bronx
7,P.S. 030 Wilton,Elementary,A,A,D,A,A,A ,B ,C ,A ,A,Bronx
7,South Bronx Academy for Applied Media,Middle,A,A,D,A,A,A ,A ,C ,A ,A,Bronx
7,M.S. 203,Middle,C,B,F,C,A,C ,C ,F ,C ,C,Bronx
7,Bronx Academy of Letters,High School,A,A,A,A,A,C ,B ,C ,C ,B,Bronx
7,P.S./M.S. 029 Melrose School,K-8,C,C,D,B,B,D ,C ,D ,D ,C,Bronx
8,P.S. X014 Senator John Calandra,Elementary,C,D,D,D,A,D ,C ,D ,F ,C,Bronx
8,P.S. 304 Early Childhood School,Elementary,B,A,B,B,A,B ,A ,B ,C ,B,Bronx
8,The Academy of the Arts,Elementary,B,A,C,B,A,B ,B ,C ,B ,B,Bronx
8,P.S. 036 Unionport,Elementary,B,A,B,B,A,B ,A ,C ,C ,B,Bronx
8,P.S. 069 The New Vision School,Elementary,A,B,B,A,A,A ,A ,A ,A ,A,Bronx
8,P.S. 138 Samuel Randall,Elementary,C,B,D,F,A,C ,B ,C ,C ,C,Bronx
8,P.S. 062 Inocensio Casanova,Elementary,B,B,D,B,A,A ,C ,C ,A ,B,Bronx
8,P.S. 119,Elementary,C,D,D,B,A,B ,C ,C ,B ,C,Bronx
8,P.S. 146 Edward Collins,Elementary,C,D,D,D,A,B ,A ,C ,C ,C,Bronx
8,P.S. X140 The Eagle School,Elementary,C,C,D,F,A,C ,C ,C ,C ,C,Bronx
8,P.S. 100 Isaac Clason,Elementary,C,B,C,C,B,B ,C ,C ,B ,C,Bronx
8,P.S. 071 Rose E. Scala,K-8,C,D,C,B,A,C ,C ,C ,C ,C,Bronx
8,P.S. 048 Joseph R. Drake,Elementary,B,B,C,A,A,A ,C ,C ,A ,B,Bronx
8,The Hunts Point School,Middle,B,B,C,B,,C ,C ,C ,C ,B,Bronx
8,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,Middle,,,,,,D ,C ,D ,D ,,Bronx
8,J.H.S. 125 Henry Hudson,Middle,B,C,C,B,B,C ,C ,D ,C ,B,Bronx
8,P.S. 130 Abram Stevens Hewitt,Elementary,C,B,D,C,B,C ,B ,D ,C ,C,Bronx
8,P.S. 093 Albert G. Oliver,Elementary,B,B,C,A,A,A ,B ,C ,A ,B,Bronx
8,P.S. 072 Dr. William Dorney,Elementary,C,C,D,D,A,C ,B ,D ,C ,C,Bronx
8,The Bronx Mathematics Preparatory School,Middle,C,F,D,C,A,C ,C ,D ,D ,C,Bronx
8,Bronx Studio School for Writers and Artists,High School,,,,,,C ,C ,C ,C ,C,Bronx
8,J.H.S. 123 James M. Kieran,Middle,A,B,C,A,A,B ,C ,C ,B ,A,Bronx
8,MOTT HALL COMMUNITY SCHOOL,Middle,,,,,,B ,A ,C ,B ,,Bronx
8,Urban Assembly Academy of Civic Engagement,Middle,C,D,F,F,A,C ,C ,C ,D ,C,Bronx
8,M.S. 302 Luisa Dessus Cruz,Middle,A,A,C,A,A,A ,B ,B ,A ,A,Bronx
8,P.S. 107,Elementary,D,C,F,F,B,C ,D ,F ,B ,D,Bronx
8,M.S. X101 Edward R. Byrne,Middle,C,B,C,C,C,B ,B ,C ,C ,C,Bronx
8,J.H.S. 131 Albert Einstein,Middle,C,C,D,B,B,C ,C ,D ,C ,C,Bronx
8,The School for Inquiry and Social Justice,Middle,A,B,B,A,A,A ,B ,B ,A ,A,Bronx
8,Bronx Studio School for Writers and Artists,Middle,C,C,C,D,A,C ,C ,C ,C ,C,Bronx
8,P.S. 333 - The Museum School,K-3,C,B,D,C,,C ,B ,C ,D ,C,Bronx
